Name,Status,Date
Intro & Chapter 1,Started,"Feb 20, 2021 → Feb 23, 2021"
Chapter 2,Not Started,"Feb 23, 2021 → Feb 26, 2021"
Chapter 3,Not Started,"Feb 25, 2021 → Feb 28, 2021"
Chapter 4,Not Started,"Feb 28, 2021 → Mar 3, 2021"
C Lab 1,Not Started,"Feb 28, 2021 → Mar 3, 2021"
Chapter 5,Not Started,"Mar 3, 2021 → Mar 6, 2021"
Chapter 6,Not Started,"Mar 6, 2021 → Mar 9, 2021"
Chapter 7,Not Started,"Mar 9, 2021 → Mar 12, 2021"
Chapter 8,Not Started,"Mar 9, 2021 → Mar 12, 2021"
C Lab 2,Not Started,"Mar 12, 2021 → Mar 15, 2021"
Chapter 9,Not Started,"Mar 15, 2021 → Mar 18, 2021"
Chapter 10,Not Started,"Mar 18, 2021 → Mar 21, 2021"
Chapter 11,Not Started,"Mar 21, 2021 → Mar 24, 2021"
C Lab 3,Not Started,"Mar 24, 2021 → Mar 27, 2021"
Appendixes,Not Started,"Mar 24, 2021 → Mar 27, 2021"
New Road Map,Not Started,"Mar 27, 2021 → Mar 31, 2021"
,,
,,
